,country,population,gdp,# projects,gdp per capita,# projects per capita
73,lb,4995799.0,38443907042.3217,33,7695.246954955895,6.605549983095797e-06
74,id,244016176.0,755094157594.248,31,3094.443040506659,1.270407581503941e-07
75,pe,29229576.0,147527631520.729,31,5047.203952624184,1.0605696093573167e-06
76,ng,160952864.0,366990528103.078,31,2280.1118226953577,1.926029722590087e-07
77,et,89237800.0,31952763089.33,30,358.063097581182,3.361804078540708e-07
78,ph,94636704.0,208368892319.281,29,2201.7767262824477,3.064350170098908e-07
79,sg,5163585.0,239807921966.007,28,46442.136997068315,5.4225891507547565e-06
80,cm,19878044.0,27507501809.2414,28,1383.813307247001,1.408589295807978e-06
81,bf,16116851.0,10109619736.1442,28,627.270161903476,1.7373120841037743e-06
82,mz,23073732.0,11104649065.1649,26,481.2680092307954,1.12682248367971e-06
83,az,9237203.0,52909294791.9262,25,5727.8480067966675,2.706446962354297e-06
84,cr,4622250.0,37658614803.2775,23,8147.247510038941,4.9759316350262315e-06
85,ml,15529183.0,10689168011.4449,19,688.327776898817,1.2235028719798072e-06
86,fo,48432.0,2505740886.25907,17,51737.29943547799,0.00035100759828212753
87,uz,28614234.0,49765676402.4495,17,1739.1930324764066,5.941099104732281e-07
88,mw,14718426.0,10128323010.6049,17,688.1390041710234,1.155014809328117e-06
89,bd,148391136.0,115279077465.226,17,776.8595926459246,1.1456209891135277e-07
90,ec,14989581.0,69555367000.0,16,4640.247582637567,1.067408088324817e-06
91,bo,10223277.0,19649724655.5819,15,1922.0573457592807,1.4672399075169342e-06
92,li,35948.0,5080000000.0,14,141315.23311449873,0.0003894514298431067
93,bj,9445716.0,9535345011.48728,13,1009.4888530935378,1.3762852916602617e-06
94,hk,7132437.0,228638678536.952,12,32056.179190499966,1.6824543981250728e-06
95,rw,10309032.0,6124693374.47064,12,594.1094541631688,1.1640278156086819e-06
96,ne,16647545.0,7851192498.77154,10,471.61263109795107,6.006891706855275e-07
97,lk,20668556.0,58636160848.9497,10,2836.9742351110403,4.838267366138206e-07
98,kh,14363534.0,11242275288.5243,10,782.6956296775084,6.96207493225553e-07
99,zm,13792095.0,20265559483.8548,10,1469.3604911983857,7.250530104382257e-07
100,sy,22337558.0,252518218262.806,9,11304.647458007988,4.0290885870335513e-07
101,cv,521219.0,1824751459.69304,9,3500.9304336431323,1.726721397339698e-05
102,bw,2091666.0,12637273429.1339,9,6041.726274239721,4.302790216028754e-06
103,sd,33739932.0,74151157011.5251,8,2197.7269252209844,2.3710776891903635e-07
104,gt,14543126.0,40676579264.8401,8,2796.962583205296,5.500880622226611e-07
105,pa,3623622.0,29440287600.0,7,8124.547096799832,1.93176882136161e-06
106,ga,1711117.0,14372593013.8124,7,8399.538438232103,4.090895011854829e-06
107,tj,7621785.0,5642221528.67114,7,740.2756084921235,9.184200289039904e-07
108,ve,28715026.0,393192354510.653,7,13692.913059199494,2.437748097459497e-07
109,ae,8481775.0,289787452661.675,7,34165.8971927073,8.252989498070864e-07
110,pk,194454496.0,177165547828.889,6,911.090005493568,3.085554781926976e-08
111,nc,261435.0,9364350064.98695,6,35819.03748536711,2.2950255321590454e-05
112,la,6323425.0,7131773632.71369,6,1127.833987548471,9.488528764079593e-07
113,mg,21731052.0,9982711338.11814,6,459.3754291379055,2.7610260193570015e-07
114,cu,11290420.0,59562962962.963,6,5275.531199278946,5.314239859987493e-07
115,jm,2733904.0,13220549858.2014,6,4835.77691762454,2.1946637482515846e-06
116,gl,56374.0,2503167187.49305,6,44402.86634783854,0.00010643204314045482
117,mu,1283347.0,10003670690.3497,6,7794.985058873166,4.675274886683025e-06
118,ci,21120040.0,34936307964.3213,5,1654.17811539757,2.3674197586746995e-07
119,tm,5267975.0,22583157894.7368,5,4286.87643634163,9.491313075707458e-07
120,ni,5855736.0,8758619130.58043,5,1495.7332657381462,8.538636304642149e-07
121,sa,29411930.0,528207298529.872,5,17958.94722073227,1.6999904460536933e-07
122,np,27161572.0,16002656434.4746,5,589.165326457342,1.8408360164131885e-07
123,om,2881915.0,64993498049.4148,5,22552.19118170203,1.7349574848668332e-06
124,pg,7583269.0,14250785801.34,4,1879.2404438428862,5.274770023323714e-07
