source,target,real collaborations,weight
be,lt,304.0000000000001,230.98000343946842
hu,ie,302.99999999999983,377.7647616070571
fr,is,298.00000000000006,264.3272761824279
es,mt,298.00000000000006,154.8831800655078
cz,ro,296.0000000000001,574.5762805653127
gr,hr,294.0,252.91483439284758
be,ee,293.00000000000006,131.34178257419762
cz,ie,290.0,458.9865146606817
bg,pl,290.0,598.0300903296738
hr,nl,287.00000000000006,582.1252212467232
is,it,286.00000000000006,364.4326730907686
dk,ro,285.0,602.426007279798
is,nl,283.9999999999999,151.5693305007822
lt,nl,277.99999999999994,437.0679500842361
it,lu,277.00000000000006,523.8487486984444
es,lu,275.0000000000001,419.6397215085582
be,hr,269.00000000000006,316.3869971284723
at,sk,269.00000000000006,333.8878112887746
de,mt,264.0000000000001,266.24344102707664
dk,si,259.9999999999999,160.8085436350555
gb,mt,257.00000000000006,221.3718814341994
gr,sk,256.0,345.4547746857508
be,cy,250.99999999999991,151.8134769198699
no,si,249.0,186.58956969861467
lv,se,246.0000000000001,200.56325628058462
be,lu,242.99999999999997,145.68264107364374
bg,hu,241.9999999999999,201.31762754955733
lv,nl,239.99999999999994,323.77077379180207
fr,mt,239.99999999999994,220.4205502142038
dk,lt,237.00000000000006,154.3250163707912
hu,si,235.0,119.01120266446112
hu,sk,232.00000000000009,205.53124748150358
at,ee,228.99999999999997,110.46772629185689
ie,si,226.9999999999999,133.5942422807106
bg,ch,225.99999999999991,441.3029582823318
ro,si,223.0,172.9664963724815
se,sk,223.0,422.00128825174505
ee,gr,222.0000000000001,138.45837613554346
lu,nl,220.99999999999994,274.51351225987594
bg,no,219.00000000000009,344.74040693065376
ee,no,219.00000000000009,129.02908226226714
ie,ro,219.00000000000009,501.50824263550527
be,lv,219.00000000000009,164.97031653042112
bg,pt,217.9999999999999,310.7284395412308
pl,sk,214.00000000000006,561.8932091468458
hr,si,214.00000000000006,62.532814388690106
cz,si,208.9999999999999,148.36015561486425
cy,se,204.99999999999994,192.24284359640941
bg,fi,199.00000000000009,260.8841748168274
lt,se,197.99999999999991,275.12599506740844
hr,se,193.99999999999997,390.47199123651507
dk,ee,193.00000000000006,87.53538996494315
cz,sk,193.00000000000006,266.5665605810096
cy,no,191.00000000000006,151.1330328545445
at,hr,187.00000000000003,245.9800611047642
ch,sk,182.99999999999991,415.2798744866032
is,no,181.99999999999994,74.1794014559232
gr,lt,181.99999999999994,192.23586134190825
bg,dk,176.00000000000006,295.13651616467786
bg,cz,175.0,269.2466090656854
hr,pt,173.99999999999991,275.63900564844334
is,se,173.00000000000003,96.54526566650384
ee,pl,171.99999999999991,233.2695420346072
fi,sk,170.99999999999991,269.52781989885204
ee,pt,170.00000000000006,125.35469068055082
ch,cy,168.99999999999997,149.70183080080298
hr,ro,168.0,253.32749945190213
bg,si,167.0,78.04129884572545
dk,is,164.00000000000003,51.26911237740526
ro,sk,160.99999999999994,306.6729986404053
at,lv,160.99999999999994,138.09921905610122
gr,mt,160.00000000000009,49.300585479557085
fi,lv,158.99999999999994,97.04149005207947
fi,lt,158.0,138.54435524506985
cy,pt,158.0,136.09101873154833
ch,ee,154.99999999999997,131.91956993657175
lt,pl,154.0,377.5540199877522
ch,lt,153.00000000000003,231.20901000973424
hr,pl,152.00000000000003,528.7222310569981
be,is,148.00000000000003,74.8847547622188
ee,ro,144.00000000000003,118.3089518641995
bg,ie,143.00000000000003,235.98481649861807
ch,hr,141.99999999999994,304.70457418290937
at,cy,140.99999999999991,125.77640046186131
lt,no,138.99999999999997,222.2380192753766
at,lt,138.99999999999997,192.33693307848432
ee,hu,135.0,84.70505368715064
cy,pl,134.00000000000003,269.93262446998995
dk,sk,133.0,291.55227037454915
fi,hr,132.00000000000006,204.99196501484107
ie,sk,131.00000000000006,245.70133513464108
cy,ro,130.00000000000006,126.94715664844142
hr,hu,127.99999999999999,172.59468700053765
gr,lv,127.99999999999999,137.49969684696748
mt,nl,124.99999999999994,137.1213308312895
gr,lu,124.99999999999994,144.17378311516995
lt,ro,124.00000000000003,195.69097473074717
cy,fi,122.00000000000004,114.6846615379917
hr,no,122.00000000000004,309.88933748689067
lv,pl,120.99999999999993,284.86232585576954
lv,no,119.00000000000007,162.5379402571895
pt,sk,118.00000000000003,329.23076998410164
lu,se,116.00000000000003,201.32596047487974
cy,ie,115.00000000000003,103.90142317006566
dk,lv,114.00000000000003,109.99240888978836
hu,lt,114.00000000000003,125.56210507306947
ch,lv,114.00000000000003,165.43823614163162
ch,is,113.00000000000006,75.95053870353566
lv,ro,111.99999999999997,145.82092930995398
bg,hr,111.99999999999997,105.07682990988495
lv,pt,111.99999999999997,155.8083644241947
cy,dk,111.00000000000004,131.22434510250284
cy,hu,109.00000000000004,92.98944721444234
ee,ie,108.00000000000004,92.6934396636898
hu,lv,108.00000000000004,90.36252149725233
is,pt,103.99999999999997,70.57594273472063
si,sk,102.99999999999996,90.50207961738046
no,sk,102.99999999999996,338.02725615720345
ie,is,100.0,40.43619176104122
ee,si,99.0,32.52025315521727
ee,lv,99.0,19.445243762386138
dk,hr,99.0,221.87868012433364
be,mt,98.0,64.16908788231478
ch,lu,96.99999999999999,156.43286718335054
cz,ee,96.0,88.65089523679639
fi,is,96.0,45.92756189964247
at,lu,96.0,138.73637000961676
bg,sk,95.00000000000001,141.34558162498433
at,is,95.00000000000001,64.84213141455128
bg,cy,93.99999999999997,48.30159222543332
lt,pt,92.00000000000001,210.78628406413648
cz,lt,92.00000000000001,153.59949081772342
ee,lt,91.00000000000001,28.674856525460207
bg,lt,89.99999999999997,79.06497289186585
lu,pt,89.0,141.36830936492865
bg,ee,88.00000000000001,45.232633168404064
mt,pt,88.00000000000001,62.07550256254041
cy,si,88.00000000000001,35.547250549495814
ie,lt,85.99999999999999,132.1712573481298
bg,mt,85.99999999999999,21.285899906310654
mt,se,85.99999999999999,91.1115278631752
cy,cz,85.99999999999999,121.85911466116356
lt,si,85.00000000000003,53.912107786217646
cz,lv,83.99999999999999,110.5682441536518
fi,lu,83.99999999999999,109.46390410657175
cz,hr,81.0,207.07732267299892
gr,is,77.99999999999999,64.07845615559455
ie,lv,77.99999999999999,94.03364073259728
mt,no,77.0,71.77621367135303
lv,si,77.0,40.13607393445933
mt,pl,76.0,127.25474767720772
hr,ie,74.00000000000001,208.99882610831648
mt,ro,70.99999999999999,60.74169716906357
is,ro,68.99999999999999,71.62262606177413
lt,lv,68.99999999999999,32.49133017198959
lu,pl,68.00000000000001,280.84587330856067
fi,mt,66.00000000000001,41.13284460395576
cy,hr,66.00000000000001,48.24243467499357
ie,lu,64.99999999999999,94.1744703544864
ie,mt,63.0,36.57216120168068
at,mt,63.0,53.11112501225648
lu,no,62.0,160.11927284598727
ee,sk,62.0,58.14288536006843
bg,lv,62.0,56.6418444324901
cy,ee,61.000000000000014,20.041008538769965
dk,lu,61.000000000000014,114.412130940032
hu,lu,61.000000000000014,94.82050938975395
is,pl,61.000000000000014,144.09985830966642
hu,mt,61.000000000000014,35.0650616170556
cy,mt,59.00000000000001,9.359974181495366
ee,hr,59.00000000000001,44.58786148492713
dk,mt,55.00000000000001,45.1101126914976
ee,mt,55.00000000000001,9.022163182702531
lt,sk,53.000000000000014,95.45653565431546
cz,mt,50.999999999999986,43.79627593218643
lv,mt,50.999999999999986,11.183457965264001
ch,mt,50.999999999999986,62.525798954533364
lu,ro,49.99999999999999,141.18035327164904
ee,is,47.00000000000001,10.336775406085914
cy,lv,46.0,25.198882180651786
hr,sk,46.0,123.04822006171096
lv,sk,45.00000000000001,71.43974664875944
cy,lt,44.0,35.32206998916919
is,si,44.0,19.32579558149903
cz,lu,43.000000000000014,113.38916788801858
hr,lv,43.000000000000014,50.991881317367124
cy,sk,42.00000000000001,64.77993901947195
cz,is,40.99999999999999,52.58787270747655
lu,si,40.99999999999999,36.69344136381246
ee,lu,37.99999999999999,23.97232904995733
hu,is,37.99999999999999,43.06046839909125
mt,si,37.0,16.310528202950387
bg,lu,37.0,60.16578833523498
lu,sk,34.0,68.27229755535662
mt,sk,34.0,30.396566867707406
hr,lt,32.00000000000001,71.0705394058429
hr,mt,32.00000000000001,19.086915263815243
de,li,30.999999999999996,89.69714246242569
bg,is,29.0,26.741142386733266
is,lv,28.0,13.278372474343026
hr,is,27.000000000000004,23.92002912358987
lt,lu,27.000000000000004,40.03438308532016
cy,lu,26.0,26.818546622154724
lu,lv,26.0,26.79249449022941
lt,mt,25.000000000000007,15.091231157893352
is,lu,25.000000000000007,13.925321593103199
is,mt,23.999999999999993,5.263888315922151
cy,is,21.999999999999996,11.705468234653742
is,lt,21.999999999999996,18.731646390351838
hr,lu,21.0,52.27666363854502
is,sk,17.999999999999996,35.276959777003114
lu,mt,17.999999999999996,10.373098383711326
ch,li,16.0,19.184266115135042
fr,li,12.000000000000002,79.79355367331642
es,li,12.000000000000002,56.78056944981617
it,li,7.999999999999999,68.10764898250092
at,li,6.0,17.977447878127645
gb,li,3.0,78.122159566816
ee,li,3.0,3.2538590556727267
li,nl,3.0,47.99982247910285
cz,li,3.0,15.069674288346167
li,se,3.0,33.433827490818985
li,si,2.0,5.783680066303389
be,li,2.0,21.785739159070886
li,no,2.0,26.557596677399697
cy,li,2.0,3.5920354720622507
gr,li,2.0,19.169773093586137
