lat_lon,AT,BE,BG,HR,CY,CZ,DK,EE,FI,FR,DE,GR,HU,IS,IE,IT,LV,LI,LT,LU,MT,NL,NO,PL,PT,RO,SK,SI,ES,SE,CH,GB
0,"(47.6139487927463, 14.076158884337072)","(50.65244095902296, 4.580834113854935)","(42.7531187620217, 25.19511095327711)","(45.01623399593114, 16.566189771645533)","(34.90706085094344, 33.03955380295407)","(49.775245294369, 15.334558102365815)","(56.06393446179454, 9.876372937675002)","(58.643695426630906, 25.824725613026608)","(64.50409403963651, 26.211764610296353)","(42.46070432663372, -2.8766966992706267)","(51.13372269040778, 10.288485092742851)","(39.066715899713955, 22.719813447095053)","(47.19995117195427, 19.357628627745918)","(65.07427633529105, -18.761028770831768)","(53.18059120995006, -8.010236544877012)","(42.751183052964265, 12.140788372235871)","(56.80717513427924, 24.833296149803438)","(47.16, 9.32)","(55.284319484766066, 23.88064027584349)","(49.76570507415103, 5.965223432343999)","(35.5, 14.35)","(52.298700374441786, 5.512217100965399)","(69.15685630975351, 15.468119955206761)","(52.14826021933187, 19.31101430844868)","(39.63404977497817, -8.055765588295687)","(45.857101035738005, 24.943252494635377)","(48.7267113517275, 19.507657147433708)","(46.12542205901039, 14.938152320795732)","(40.348656106226734, -3.6170206023873743)","(62.811484968080336, 16.59626584684802)","(46.79173768366762, 8.118300613385486)","(53.91477348053706, -2.8531353951805545)"
"(42.46070432663372, -2.8766966992706267)",1449.4838192116947,1074.0442574898536,2293.0781496128006,1587.7683276687255,3209.440184411283,1619.4205202087417,1768.5804081542167,2678.934165031197,3065.3718042421074,0.0,1388.8423808022078,2185.219582997988,1828.2566887188937,2707.773036043422,1251.53956437681,1231.1327126024544,2529.7012730165743,1095.3588128928268,2401.4899917234225,1059.8772188727976,1676.4461887605967,1262.0464963514944,3157.008644085638,1981.377644169354,536.6181849537082,2245.3331328714926,1871.6852911254466,1475.3768132631892,242.59590332635463,2596.6314187525427,995.1778337097365,1273.6202599845476
"(51.13372269040778, 10.288485092742851)",478.2956358455796,405.0317562925552,1463.552186022501,824.875675357486,2565.9765995721086,388.8128793082555,549.3944741316133,1295.6649926716086,1753.2457080800953,1388.8423808022078,0.0,1655.182247503806,792.1106376219155,2274.44135787722,1269.1892614643907,942.4105590819394,1140.8744547320612,447.5292531484551,1016.5063769685202,342.62431091712307,1767.1604036750848,354.5455728579468,2026.7475422489874,634.2744654511525,1913.165833841426,1228.739634262319,713.399583580532,653.6411891918916,1609.5494803163838,1354.2464400363774,508.2845729931309,942.4486012041631
"(39.066715899713955, 22.719813447095053)",1178.6464858296238,1917.4654700249998,459.3832777877987,833.895895523304,1027.2993945708693,1325.783345939188,2114.5938520145705,2188.3838025479154,2839.382187596408,2185.219582997988,1655.182247503806,0.0,943.8215983008109,3926.285988817425,2812.5080905283576,979.7748706125544,1978.6033181066136,1410.0169387706455,1805.0533461948858,1779.7905260375348,840.6912376912312,1979.8389490502284,3377.138089347943,1477.6123225213632,2640.4709204541164,776.0543677959607,1103.6426469402065,1010.2549189430244,2254.706342610381,2673.4895293811896,1464.9158448394967,2539.9738030826825
"(47.19995117195427, 19.357628627745918)",401.1959070314668,1146.5174159396413,675.068287413582,324.7507552528378,1779.691176632613,412.7387829508766,1182.360167619676,1344.220890086707,1971.092508232354,1828.2566887188937,792.1106376219155,943.8215983008109,0.0,3014.530530078729,2049.5799688333614,753.4106851402055,1132.276489105552,760.3433213566922,952.7447267592679,1028.7409878563537,1364.555494842981,1144.9857997673141,2454.9669237325234,550.3743933950998,2358.8884830549823,453.6719458161931,170.1290717770217,358.64726496210045,1990.8278060044763,1746.457308636757,855.3470873430795,1732.4109962088514
"(65.07427633529105, -18.761028770831768)",2752.7187595362147,2096.032290940102,3680.867996836227,3099.2417482012065,4776.84347303953,2608.453615702292,1839.2105303278522,2396.2117007466027,2094.0168056563857,2707.773036043422,2274.44135787722,3926.285988817425,3014.530530078729,0.0,1456.2661511255394,3143.728886405653,2475.1334093806017,2607.1276148632232,2541.765848404811,2231.5607686237504,3953.181638415439,1977.529089627372,1530.8909705734593,2579.2342500663244,2913.836411001334,3383.225596583145,2883.5288443207064,2927.5442447530695,2917.5423555175653,1728.3375609667983,2597.8496196606234,1526.097300117121
"(53.18059120995006, -8.010236544877012)",1679.58532474459,909.4383852617077,2705.0215442384924,1997.4946481572242,3790.566951057514,1657.4655708152075,1195.2899968882984,2175.3005251584027,2300.945655101341,1251.53956437681,1269.1892614643907,2812.5080905283576,2049.5799688333614,1456.2661511255394,0.0,1888.592138258894,2118.9646841909002,1402.4935778570953,2074.252342681179,1040.5710037354838,2630.870940248809,917.1765274618546,2153.141414353669,1840.7528946102418,1505.8248248300097,2495.193576600278,1982.5222436994907,1822.7662061037227,1464.7001895507544,1789.3266297829894,1352.925412679418,351.37931512159327
"(42.751183052964265, 12.140788372235871)",561.373522834273,1050.3259523417403,1067.6626539855301,435.5719711090006,2005.469003527473,818.4703085584517,1489.4857087600647,2006.121052300665,2579.966682824664,1231.1327126024544,942.4105590819394,979.7748706125544,753.4106851402055,3143.728886405653,1888.592138258894,0.0,1804.4158387582938,538.0490055869844,1632.1542527675,912.8708683961955,827.2811113562019,1171.8227822573015,2946.1811942382983,1175.0432561355217,1724.8599773534247,1076.8568302019182,876.5551737606539,436.03233455749205,1339.4003074317754,2251.156661879422,550.2897278210395,1659.5551553181333
"(56.80717513427924, 24.833296149803438)",1256.6301981189135,1494.159211174665,1563.3590028630022,1432.3418138088016,2511.9745084871574,1004.9149141276318,924.5206433577398,212.89215012832722,860.8649291057505,2529.7012730165743,1140.8744547320612,1978.6033181066136,1132.276489105552,2475.1334093806017,2118.9646841909002,1804.4158387582938,0.0,1505.9736648173946,179.64733914772322,1474.994891710294,2496.314028214777,1341.3851318280692,1452.1722744826038,629.7110884259445,3051.83530668213,1218.2622336582006,967.6776159348476,1369.8797249075799,2749.1635548708846,811.7604871656089,1595.5241067718312,1772.3376519073804
"(47.16, 9.32)",362.58389371307504,520.8872649408854,1341.959881993251,608.6709253413513,2399.109753748004,531.1523179677848,991.3876867290015,1683.828922531376,2186.1070304129607,1095.3588128928268,447.5292531484551,1410.0169387706455,760.3433213566922,2607.1276148632232,1402.4935778570953,538.0490055869844,1505.9736648173946,0.0,1355.9164828946768,381.38031452999564,1360.9428365886972,633.8400570326108,2473.5742741954,908.7455993072518,1631.8644453301622,1205.7500223087898,780.122938412275,445.13129463489526,1285.0199570527222,1800.7942623978413,100.18289577331414,1141.4881671257883
"(55.284319484766066, 23.88064027584349)",1090.0183719682154,1389.675531499168,1396.8354114074448,1254.453324690239,2371.788802038627,842.7353580234371,883.8269327680122,392.30181541813704,1035.2467936966873,2401.4899917234225,1016.5063769685202,1805.0533461948858,952.7447267592679,2541.765848404811,2074.252342681179,1632.1542527675,179.64733914772322,1355.9164828946768,0.0,1356.8608132292393,2316.9642173789416,1251.1798349155617,1603.2381834149123,461.15818203791724,2929.0435368946983,1051.345036033669,788.6365535474438,1196.651959988677,2615.604914613606,935.595329168784,1448.3539925206005,1723.7991670497947
"(49.76570507415103, 5.965223432343999)",642.903704876976,139.6193023601204,1668.3092234763847,957.4709990767999,2749.998110031761,674.4962315217941,748.3454684123773,1619.2826843094736,2029.2219902289112,1059.8772188727976,342.62431091712307,1779.7905260375348,1028.7409878563537,2231.5607686237504,1040.5710037354838,912.8708683961955,1474.994891710294,381.38031452999564,1356.8608132292393,0.0,1724.8954105682333,283.5773545002537,2220.1714484387203,972.8548781785793,1576.9509146178095,1481.6929661606853,991.3997161709462,782.261545615217,1288.0668980859127,1589.973409807028,367.2418712534625,762.308075345759
"(35.5, 14.35)",1345.6298977294064,1858.092830829683,1234.2180235219219,1073.2493152671595,1700.6291288384775,1587.7996334664392,2310.7515278605056,2707.658735771749,3323.5286506713787,1676.4461887605967,1767.1604036750848,840.6912376912312,1364.555494842981,3953.181638415439,2630.870940248809,827.2811113562019,2496.314028214777,1360.9428365886972,2316.9642173789416,1724.8954105682333,0.0,1993.4426001589504,3745.494474254013,1891.1993002544368,2026.1746998453364,1454.943468629828,1528.906305660849,1180.994740753701,1665.2742652169447,3041.296698349565,1357.655986342986,2444.5342340893353
"(52.298700374441786, 5.512217100965399)",804.785032679177,194.2491501478652,1813.3626221490015,1146.0819782011804,2913.0513317199197,743.195926803534,506.5689307796173,1457.7753959574097,1803.3265337969435,1262.0464963514944,354.5455728579468,1979.8389490502284,1144.9857997673141,1977.529089627372,917.1765274618546,1171.8227822573015,1341.3851318280692,633.8400570326108,1251.1798349155617,283.5773545002537,1993.4426001589504,0.0,1949.4010891833414,941.6686897823402,1750.9539813426293,1583.2746226433953,1067.0928412536678,969.5935163505319,1500.1613611392168,1341.503972389388,640.7531203760018,587.9855253968492
