,country,population,gdp,# projects,gdp per capita,# projects per capita
43,pl,38252284.0,94337047232.8866,8,2466.180770614549,2.0913783867128038e-07
44,ga,1037451.0,5592390832.66829,7,5390.510812239123,6.747306619782525e-06
45,cr,3321943.0,8564041894.92938,7,2578.0219272062704,2.1072005148793946e-06
46,bj,5457781.0,1695315305.70308,7,310.62354933315936,1.2825725326831546e-06
47,zm,8074342.0,3181921787.7095,6,394.0781537008836,7.430946075853611e-07
48,vn,69788752.0,9866990236.43587,6,141.3836750718206,8.597373972241257e-08
49,mz,13816886.0,2640001311.31689,6,191.07064437796546,4.3425124879802874e-07
50,ec,10914222.0,18094238119.0595,6,1657.8587203979819,5.49741429118814e-07
51,hu,10370067.0,38730585922.2189,6,3734.84432860645,5.785883543471802e-07
52,tn,8802535.0,15496702219.8771,6,1760.4817498455957,6.816218282574281e-07
53,bd,111272104.0,31708874594.1645,5,284.96697244229784,4.493489221701065e-08
54,dz,26748302.0,48003133346.9957,5,1794.6235744981382,1.8692775339533703e-07
55,gh,16241548.0,6416079341.97329,5,395.0411218175318,3.078524288448367e-07
56,gw,1022910.0,226313443.749086,5,221.2447270523174,4.888015563441554e-06
57,uy,3153732.0,12878150209.9029,5,4083.4637216805045,1.5854232382459893e-06
58,eg,59989148.0,41855986519.4235,5,697.7259706942913,8.33484082821113e-08
59,ru,148725600.0,460290556900.726,5,3094.897965788849,3.361896001764323e-08
60,lk,17624462.0,9703011635.86585,5,550.5422880917358,2.8369660305091864e-07
61,tg,4106228.0,2300598696.19391,4,560.2705685592496,9.741300288245076e-07
62,bw,1420696.0,4146464586.61674,4,2918.6149511343315,2.8155214064092528e-06
63,ro,22800964.0,25121666666.6667,3,1101.7809013104313,1.315733843533984e-07
64,us,255175328.0,6520327000000.0,3,25552.341016291357,1.1756622489772993e-08
65,mw,10115423.0,2618837532.19438,3,258.8955036476853,2.965768213548756e-07
66,gt,9576630.0,10440781587.5435,3,1090.235457310505,3.1326259863856076e-07
67,ne,8907642.0,3386232582.4161,3,380.14915534505093,3.3678946684206664e-07
68,rw,7657202.0,2029026956.63554,3,264.9828170440769,3.91788018652244e-07
69,gm,1127156.0,714254263.103249,3,633.6782691155873,2.661565923439169e-06
70,pk,122375176.0,48884672605.0356,2,399.4655959067679,1.634318384963957e-08
71,td,6302934.0,1881847671.47122,2,298.5669327128001,3.1731254047718096e-07
72,sd,21780058.0,7031933491.84899,2,322.8611003629554,9.182712001960692e-08
73,ao,12632509.0,15114352005.3033,2,1196.4647723823748,1.583216762402465e-07
74,bb,260226.0,1957000000.0,2,7520.386125905943,7.685627108743938e-06
75,bi,5743083.0,1083037670.60484,2,188.5812325200315,3.4824501056314177e-07
76,cd,38332300.0,8227343907.26679,2,214.632148534442,5.217531950861284e-08
77,cg,2520964.0,2933222705.7974,2,1163.5321669795364,7.933473068238975e-07
78,mg,12623342.0,3714966675.01207,2,294.2934347348008,1.584366485515484e-07
79,cz,10310956.0,34805013229.572,2,3375.5369753854056,1.9396843512861464e-07
80,cy,810435.0,6912150456.32334,2,8528.93872589824,2.4678104968319484e-06
81,np,20702138.0,3401211581.29176,1,164.2927692440153,4.830418964456714e-08
82,tr,56302040.0,159094972321.748,1,2825.740813685401,1.776134577006446e-08
83,gn,6832196.0,3284620421.84712,1,480.7561758835841,1.463658243996513e-07
84,to,99276.0,137066290.550071,1,1380.6588757612212,1.0072927998710665e-05
85,ug,18801968.0,2857457760.91789,1,151.9765250593922,5.318592181414201e-08
86,tt,1285506.0,5439552941.17647,1,4231.4488934135425,7.779037981930851e-07
87,bg,8668545.0,10350515463.9175,1,1194.0314624792857,1.1535961340686355e-07
88,za,41760756.0,146956142398.778,1,3519.001006561711,2.394592664941219e-08
89,sv,5552210.0,5813399300.0,1,1047.0424029350474,1.8010846131540414e-07
90,ni,4427177.0,1792800000.0,1,404.95331449363783,2.2587757390318932e-07
91,ls,1858515.0,831029813.140829,1,447.1472186884846,5.380639919505627e-07
