Population 1,Population 2,GDP capita 1,GDP capita 2,Distance,collaboration,source,target,real collaborations,estimated collaborations
6.893342462763831,7.220555782256729,4.883976337304494,4.707522867498735,2.806690729813409,3.5293019977879805,ch,nl,3382.999999999999,1792.4503395275124
7.7976832670711635,7.586557555605982,4.5987597562830995,4.090772504465759,3.174244444893691,3.523876475638131,gb,pl,3340.9999999999986,6030.014019967871
7.776864209903014,7.02483038038049,4.55275736101534,4.351952732278758,3.236753845188437,3.5149460053080044,it,pt,3273.0000000000005,2730.412488093682
7.7976832670711635,7.02483038038049,4.5987597562830995,4.351952732278758,3.2136195597808475,3.5149460053080044,gb,pt,3273.0000000000005,2946.3214790012867
7.019728857622879,7.910224541894177,4.300562738981344,4.621211942504339,2.589740642365001,3.5055569386638217,cz,de,3202.9999999999995,3856.9819022492525
6.9223532165844235,7.220555782256729,4.671237533239733,4.707522867498735,2.9056798908166144,3.5010592622177517,at,nl,3170.0000000000014,1550.148997676847
6.744359491599115,7.795494665444658,4.763490013187067,4.626961859043247,3.247624809711319,3.4987239707479048,dk,fr,3153.000000000001,3526.971917791402
7.795494665444658,7.02483038038049,4.626961859043247,4.351952732278758,2.7296653859863675,3.4983105537896004,fr,pt,3149.9999999999995,2774.1554342605646
6.744359491599115,7.668132125103672,4.763490013187067,4.4848005154400035,3.3024723268760674,3.490660653356137,dk,es,3095.0000000000005,2367.2969323336038
7.795494665444658,6.689286388909626,4.626961859043247,4.945243420591756,3.4992757710190956,3.486430478854434,fr,no,3064.9999999999995,3502.032422250204
7.7976832670711635,6.655578367449881,4.5987597562830995,4.690605474829142,2.545776192011412,3.484157424365381,gb,ie,3049.0000000000005,1996.1102294964976
7.036546978420406,6.972282559750049,4.6459779465998405,4.723034963422517,3.186128898889879,3.4811558708280352,be,se,3028.0000000000005,1235.1221972537005
7.776864209903014,7.586557555605982,4.55275736101534,4.090772504465759,3.070053854314295,3.4762517960070336,it,pl,2994.0000000000005,5465.2564253327155
6.744359491599115,7.776864209903014,4.763490013187067,4.55275736101534,3.173036340624967,3.4734869700645685,dk,it,2975.000000000001,3073.739680949705
7.795494665444658,7.586557555605982,4.626961859043247,4.090772504465759,3.2969672585512217,3.4720246977002813,fr,pl,2964.9999999999995,6312.151411270456
7.910224541894177,6.655578367449881,4.621211942504339,4.690605474829142,3.10352638890388,3.469674772551798,de,ie,2948.9999999999995,2712.22608735059
6.72943038972995,7.220555782256729,4.6675083911647,4.707522867498735,3.256074372860086,3.448242412634439,fi,nl,2806.9999999999995,1191.709388192134
7.910224541894177,6.999427744170248,4.621211942504339,4.121722724767051,2.8987858456714406,3.4410664066392633,de,hu,2761.000000000001,2480.3497465485443
7.668132125103672,6.689286388909626,4.4848005154400035,4.945243420591756,3.531420311505685,3.439332693830263,es,no,2750.0000000000014,2475.884004807779
7.776864209903014,6.689286388909626,4.55275736101534,4.945243420591756,3.4692594530422443,3.4387005329007363,it,no,2746.0,3138.2341098066427
6.744359491599115,7.220555782256729,4.763490013187067,4.707522867498735,2.7046385498352095,3.4320066872695985,dk,nl,2704.000000000001,1220.1323949211783
7.668132125103672,7.586557555605982,4.4848005154400035,4.090772504465759,3.339591312234837,3.4189638307036225,es,pl,2623.999999999999,4470.769422772333
7.042724477852074,7.220555782256729,4.430214661299593,4.707522867498735,3.2966298638052134,3.4026052419199146,gr,nl,2526.9999999999995,1596.5445181263729
7.036546978420406,6.893342462763831,4.6459779465998405,4.883976337304494,2.7006393035977494,3.394976719554564,be,ch,2482.999999999999,1191.8556123323408
7.220555782256729,6.689286388909626,4.707522867498735,4.945243420591756,3.289901204380818,3.3716219271760215,nl,no,2353.0000000000014,1407.1553852519621
7.668132125103672,6.655578367449881,4.4848005154400035,4.690605474829142,3.165748737762624,3.3521825181113627,es,ie,2250.000000000001,1602.2335313166311
7.795494665444658,6.655578367449881,4.626961859043247,4.690605474829142,3.0974445833241324,3.3376588910261424,fr,ie,2176.000000000001,2252.0262902493737
