,source,target,weight,population_1,gdp_1,population_2,gdp_2,distance
205,pl,ro,199,38504432.0,172220451786.957,21919882.0,37253738081.0669,811.4124191384166
206,cy,it,195,948238.0,9985844486.33365,56966400.0,1146676894209.73,2005.469003527473
207,ie,pl,194,3768954.0,100207610429.909,38504432.0,172220451786.957,1840.7528946102418
208,be,si,194,10264351.0,236792460312.471,1984339.0,20289627636.6767,916.2236784776874
209,fr,is,190,58665456.0,1365639660792.16,281469.0,9025660361.75842,2707.773036043422
210,pl,sk,189,38504432.0,172220451786.957,5376700.0,29242558796.5507,380.8601727008192
211,it,lt,188,56966400.0,1146676894209.73,3599639.0,11524776866.6379,1632.1542527675
212,hu,pt,185,10202054.0,47218411470.2538,10300632.0,118605192877.388,2358.8884830549823
213,cy,gb,185,948238.0,9985844486.33365,58850044.0,1666048767079.76,3494.17915244856
214,at,bg,184,8010425.0,197289625479.906,8097694.0,13245990274.4581,1025.8905001087312
215,fr,lt,183,58665456.0,1365639660792.16,3599639.0,11524776866.6379,2401.4899917234225
216,se,sk,180,8871042.0,262834187366.578,5376700.0,29242558796.5507,1578.3450442825585
217,at,ro,180,8010425.0,197289625479.906,21919882.0,37253738081.0669,852.4469686765824
218,se,si,180,8871042.0,262834187366.578,1984339.0,20289627636.6767,1860.3021163576445
219,cz,no,178,10234712.0,61823494487.0363,4491204.0,171456390281.958,2159.086231487042
220,pl,si,175,38504432.0,172220451786.957,1984339.0,20289627636.6767,741.600369488613
221,ee,it,175,1396881.0,5686579747.53524,56966400.0,1146676894209.73,2006.121052300665
222,ee,fr,175,1396881.0,5686579747.53524,58665456.0,1365639660792.16,2678.934165031197
223,es,lt,174,40741652.0,598363313494.903,3599639.0,11524776866.6379,2615.604914613606
224,ch,hu,173,7182052.0,279209007352.669,10202054.0,47218411470.2538,855.3470873430795
225,bg,pl,170,8097694.0,13245990274.4581,38504432.0,172220451786.957,1133.9634093230818
226,be,bg,169,10264351.0,236792460312.471,8097694.0,13245990274.4581,1795.8234769816563
227,hu,sk,167,10202054.0,47218411470.2538,5376700.0,29242558796.5507,170.1290717770217
228,ch,ie,166,7182052.0,279209007352.669,3768954.0,100207610429.909,1352.925412679418
229,gr,sk,163,11038112.0,130457756628.436,5376700.0,29242558796.5507,1103.6426469402065
230,dk,si,159,5340662.0,164157842126.821,1984339.0,20289627636.6767,1160.3409721411501
231,bg,ro,158,8097694.0,13245990274.4581,21919882.0,37253738081.0669,345.49339301894014
232,fi,sk,157,5176208.0,126019543413.334,5376700.0,29242558796.5507,1801.9906001318614
233,cy,fr,156,948238.0,9985844486.33365,58665456.0,1365639660792.16,3209.440184411283
234,ro,se,148,21919882.0,37253738081.0669,8871042.0,262834187366.578,1959.869375624711
